iter	Logloss
0	0.5453325025
1	0.4739651838
2	0.4406649491
3	0.412093026
4	0.3950638021
5	0.3824732486
6	0.3719814425
7	0.3658096831
8	0.3611340194
9	0.353058145
10	0.3473536005
11	0.3441032056
12	0.3404733721
13	0.3361928477
14	0.3321503931
15	0.328899931
16	0.3247264164
17	0.3223070532
18	0.321073705
19	0.3193697261
20	0.3171407159
21	0.315591191
22	0.3107780176
23	0.3098036309
24	0.3078691922
25	0.3062207383
26	0.3046443432
27	0.3003257584
28	0.2985630659
29	0.2972568424
30	0.2961056803
31	0.292378913
32	0.289834481
33	0.287094098
34	0.2837035317
35	0.2825882376
36	0.2811924258
37	0.2792295867
38	0.2760587525
39	0.274812311
40	0.2735111638
41	0.270968654
42	0.2697761618
43	0.2668347827
44	0.2648983572
45	0.2641124316
46	0.2628674836
47	0.2596650847
48	0.2588361045
49	0.2584594105
50	0.2571019933
51	0.2561049999
52	0.254546136
53	0.2540885124
54	0.253233159
55	0.2515981799
56	0.2513918909
57	0.2504432804
58	0.2497899719
59	0.2494293926
60	0.2479489882
61	0.2458554622
62	0.2447956018
63	0.244161776
64	0.2432888346
65	0.2427465687
66	0.2419820115
67	0.2414418393
68	0.23945436
69	0.2387344885
70	0.2381702688
71	0.2374084887
72	0.2363571104
73	0.2335483774
74	0.2322040622
75	0.2313122446
76	0.2301350699
77	0.2294616791
78	0.2284377632
79	0.2249917686
80	0.2240384214
81	0.2223178113
82	0.2215989924
83	0.2199447757
84	0.2190752268
85	0.2175392061
86	0.2154286305
87	0.2143996378
88	0.2136285794
89	0.211833494
90	0.2109182054
91	0.2097760227
92	0.2090444124
93	0.2082099572
94	0.2069815927
95	0.2063620463
96	0.2062518184
97	0.2057774156
98	0.2045229128
99	0.2038066584
100	0.2031900518
101	0.2014845054
102	0.2006020672
103	0.1994084996
104	0.1986525125
105	0.1978822282
106	0.1969341613
107	0.1961427887
108	0.1944158295
109	0.1934648487
110	0.1922038024
111	0.1914180671
112	0.1912170962
113	0.190599384
114	0.1894726556
115	0.1889285711
116	0.1883049969
117	0.1869802636
118	0.1863440682
119	0.1848281238
120	0.184012548
121	0.1829516364
122	0.1819172461
123	0.1812699971
124	0.1805866732
125	0.1799489442
126	0.1787651422
127	0.1774286122
128	0.1762841266
129	0.1756449882
130	0.1750004575
131	0.1745667156
132	0.1742760928
133	0.1737820897
134	0.1735150209
135	0.1730724829
136	0.1725139969
137	0.1715618559
138	0.1713844211
139	0.1705235426
140	0.1695228416
141	0.1691592064
142	0.1683348025
143	0.1671298219
144	0.1665008395
145	0.1656578826
146	0.165349404
147	0.1646826903
148	0.1644779659
149	0.1639614791
150	0.1635891524
151	0.1631438665
152	0.1623824314
153	0.1621344556
154	0.1619039634
155	0.1613919967
156	0.1605298836
157	0.1600404306
158	0.159471003
159	0.1586920001
160	0.1584565517
161	0.1579009625
162	0.1576620686
163	0.157345132
164	0.1569253139
165	0.1564995855
166	0.1561976434
167	0.1556589271
168	0.1553580969
169	0.1551712087
170	0.1547014612
171	0.1541308099
172	0.1523324288
173	0.1516206844
174	0.1509369853
175	0.1498889268
176	0.1492667151
177	0.1489410972
178	0.1486838288
179	0.1484852681
180	0.1480920639
181	0.1473106097
182	0.1470310552
183	0.1462920785
184	0.1453403917
185	0.144289533
186	0.1440250704
187	0.1432129606
188	0.1427384007
189	0.1424728371
190	0.1419873322
191	0.1414500825
192	0.1411288685
193	0.1409099226
194	0.1399976965
195	0.139830731
196	0.1396953714
197	0.1390368488
198	0.1388309861
199	0.1387083056
200	0.1382806092
201	0.1380746425
202	0.1375339009
203	0.1372864633
204	0.1372400345
205	0.1366061049
206	0.1360090498
207	0.1356301873
208	0.1350806674
209	0.134877618
210	0.1347840703
211	0.1343594255
212	0.1342608411
213	0.1342276802
214	0.1339574359
215	0.1338627952
216	0.1337561836
217	0.1332098764
218	0.1326102077
219	0.132150086
220	0.1312615509
221	0.1310591562
222	0.1305629065
223	0.1304572411
224	0.1303042819
225	0.1300085091
226	0.129748033
227	0.1290506032
228	0.1289829663
229	0.1285834324
230	0.1278046672
231	0.127072342
232	0.1264206711
233	0.1263241626
234	0.1261053007
235	0.1259730108
236	0.1254126301
237	0.125215977
238	0.1250376574
239	0.1248712395
240	0.124817875
241	0.1245005287
242	0.1241121064
243	0.1239353979
244	0.123695124
245	0.1233845544
246	0.1230677813
247	0.1227093194
248	0.122348215
249	0.1219487157
250	0.1217353615
251	0.1214991847
252	0.121415034
253	0.1212088237
254	0.1211732308
255	0.121084331
256	0.1202449626
257	0.12019693
258	0.1200991338
259	0.1199612533
260	0.119531176
261	0.1192763323
262	0.1190922497
263	0.1189199917
264	0.1183391028
265	0.1175421674
266	0.1170321069
267	0.1162394146
268	0.1159867239
269	0.1155721708
270	0.115360403
271	0.1149456675
272	0.1147763231
273	0.1145823696
274	0.1143917692
275	0.1139142874
276	0.1135346689
277	0.1133794625
278	0.1132164447
279	0.1128076731
280	0.1127201902
281	0.1122338799
282	0.1115608115
283	0.1112371892
284	0.1109956101
285	0.1107305147
286	0.1104134822
287	0.1102414578
288	0.1097058279
289	0.1086499402
290	0.1082501729
291	0.1077392294
292	0.1075991228
293	0.1071867888
294	0.1069049418
295	0.1066797455
296	0.1064505171
297	0.1062127475
298	0.1059129356
299	0.1054423193
300	0.1051609296
301	0.105058
302	0.1047152769
303	0.1043846944
304	0.1039750994
305	0.1038520219
306	0.1037028013
307	0.1033404341
308	0.1031458525
309	0.1029267207
310	0.1028631059
311	0.1027687922
312	0.1025077252
313	0.1023584533
314	0.1021282457
315	0.102062165
316	0.1019507233
317	0.1017392519
318	0.1014486367
319	0.1012905448
320	0.101091146
321	0.1005612547
322	0.1002356854
323	0.1001774909
324	0.09975612825
325	0.09965082293
326	0.09944128619
327	0.09924407108
328	0.09900443419
329	0.09858612325
330	0.09820354828
331	0.0980428359
332	0.09760866133
333	0.09728903199
334	0.0969866862
335	0.09676011331
336	0.09657526412
337	0.09620931832
338	0.09578366267
339	0.09567486984
340	0.09543510295
341	0.09536628948
342	0.09517305076
343	0.09468386668
344	0.09466814305
345	0.09455845196
346	0.0942926903
347	0.09421491773
348	0.09409825884
349	0.09374389663
350	0.09341065252
351	0.09295955194
352	0.09261515762
353	0.0925460208
354	0.09246366785
355	0.09222123009
356	0.09217037113
357	0.09179086299
358	0.09173056272
359	0.09164987208
360	0.09155754704
361	0.09130934342
362	0.09114083725
363	0.0908365656
364	0.09081179493
365	0.09060965463
366	0.0904686228
367	0.09038394312
368	0.08995240869
369	0.08933249038
370	0.08919803943
371	0.08881867996
372	0.08848240362
373	0.08835350654
